Model,Test RMSE (qty),Test RMSE (price),Train R2,Test R2
MultiOutput XGBoost,11.054587892136583,242.672717807203,0.9372679937658355,0.920483394436206
XGBoost (qty) + LR (price),11.054587892136583,232.00885579356512,0.931749318171862,0.9253592276402025
Blend: Simple Avg (qty),11.243311917152967,,,0.9528469348801866
Blend: Simple Avg (price),,235.05196274615815,,0.8935637144494102
Blend: Weighted Avg (qty),10.879982995239631,,,0.9558452079855259
Blend: Weighted Avg (price),,232.00885579356512,,0.896301835211481
Stacking Ensemble,10.781819897641247,231.81130059717702,0.924184325012867,0.9265583659985417
