Model,Test RMSE (qty),Test RMSE (price),Train R2,Test R2
MultiOutput XGBoost,37.07179680758335,554.8885663948296,0.2926280654091082,0.009981936829734417
XGBoost (qty) + LR (price),37.07179680758335,525.6594130717376,0.18767771567743047,0.06977618576349315
Blend: Simple Avg (qty),36.06515294608468,,,0.22942510989108922
Blend: Simple Avg (price),,530.8766782196807,,-0.06712775008530225
Blend: Weighted Avg (qty),35.937813162215484,,,0.23485703523099766
Blend: Weighted Avg (price),,525.6594130717376,,-0.04625612016121705
Stacking Ensemble,36.4225284835184,516.2419587615034,0.06555103165905435,0.10248721116131804
